"Abadeh"	"Barcelona"	"Berlin"	"Colombo"	"Copenhagen"	"Crete"	"Denver"	"Guimaraes"	"Isfahan"	"Johannesburg"	"Lahijan"	"Lisbon"	"London"	"MexicoCity"	"Monterrey"	"Nairobi"	"Nowshahr"	"Perth"	"PigeonIsland"	"Prague"	"SaltLakeCity"	"Salvador"	"SanCristobalDeLasCasas"	"Santiago"	"Sardinia"	"Tatui"	"Tehran"	"TelAviv"	"TlaxcalaDeXicohtencatl"	"Torshavn"	"Trincomalee"	"Vernelle"	"WadiHidan"
"Abadeh"	0	0.072354	0.076212	0.086107	0.100979	0.075982	0.096818	0.061077	0.13695	0.094985	0.078865	0.068354	0.103525	0.089659	0.110859	0.112216	0.111038	0.125549	0.109931	0.077518	0.09173	0.105841	0.118964	0.107557	0.05944	0.117752	0.039418	0.08093	0.103295	0.106308	0.100266	0.062648	0.06078
"Barcelona"	0.072354	0	0.055531	0.087044	0.071933	0.094402	0.078659	0.043021	0.115947	0.063863	0.08501	0.051589	0.06824	0.057548	0.083427	0.097583	0.089755	0.089663	0.14762	0.057529	0.059405	0.07733	0.094179	0.084838	0.07318	0.099619	0.055917	0.068785	0.078524	0.12245	0.136478	0.066689	0.078079
"Berlin"	0.076212	0.055531	0	0.081085	0.060736	0.096062	0.062335	0.036454	0.110822	0.05403	0.079904	0.044752	0.048364	0.056803	0.078731	0.091272	0.084828	0.072226	0.141366	0.037963	0.04731	0.062226	0.088875	0.081308	0.07058	0.092735	0.056816	0.063988	0.073555	0.112417	0.128164	0.056844	0.073282
"Colombo"	0.086107	0.087044	0.081085	0	0.107773	0.118537	0.09792	0.070361	0.115766	0.089003	0.085244	0.075613	0.098823	0.091873	0.111567	0.105399	0.095942	0.117998	0.12068	0.088433	0.091219	0.105026	0.121576	0.115225	0.092908	0.128204	0.062858	0.088762	0.106165	0.137291	0.10689	0.086289	0.086858
"Copenhagen"	0.100979	0.071933	0.060736	0.107773	0	0.128376	0.087652	0.060188	0.128391	0.061733	0.097431	0.067803	0.063141	0.069037	0.097807	0.107255	0.098484	0.088901	0.173761	0.059343	0.05836	0.082252	0.108282	0.101479	0.103342	0.112778	0.074983	0.08421	0.089804	0.145718	0.160588	0.088684	0.101899
"Crete"	0.075982	0.094402	0.096062	0.118537	0.128376	0	0.128293	0.081954	0.17699	0.120191	0.113999	0.088199	0.129866	0.119252	0.136577	0.144842	0.151096	0.15817	0.155057	0.09897	0.116231	0.129623	0.148327	0.140332	0.087229	0.148775	0.068126	0.104216	0.133562	0.136996	0.143312	0.086063	0.091534
"Denver"	0.096818	0.078659	0.062335	0.09792	0.087652	0.128293	0	0.053914	0.138874	0.073122	0.101173	0.060529	0.07603	0.066357	0.084854	0.117206	0.112462	0.102847	0.162928	0.065264	0.063499	0.084075	0.097614	0.098694	0.091751	0.11946	0.074968	0.087501	0.084249	0.137446	0.147477	0.079422	0.093892
"Guimaraes"	0.061077	0.043021	0.036454	0.070361	0.060188	0.081954	0.053914	0	0.104157	0.049663	0.068083	0.03123	0.0493	0.045059	0.066757	0.085383	0.0781	0.070483	0.127234	0.04048	0.043272	0.056515	0.07577	0.069555	0.056145	0.082114	0.04269	0.056417	0.061047	0.099701	0.113751	0.047451	0.062405
"Isfahan"	0.13695	0.115947	0.110822	0.115766	0.128391	0.17699	0.138874	0.104157	0	0.096767	0.087379	0.107503	0.122795	0.110996	0.134568	0.113717	0.049855	0.140739	0.205884	0.113309	0.10227	0.132485	0.144163	0.140309	0.151273	0.152421	0.084896	0.114624	0.12952	0.199294	0.187362	0.135849	0.137513
"Johannesburg"	0.094985	0.063863	0.05403	0.089003	0.061733	0.120191	0.073122	0.049663	0.096767	0	0.083527	0.058468	0.045658	0.053764	0.081515	0.088775	0.074918	0.067963	0.165759	0.053152	0.039586	0.068697	0.090356	0.085808	0.101209	0.103047	0.067559	0.071385	0.073184	0.140736	0.150555	0.085684	0.095467
"Lahijan"	0.078865	0.08501	0.079904	0.085244	0.097431	0.113999	0.101173	0.068083	0.087379	0.083527	0	0.07331	0.095792	0.086834	0.106076	0.099808	0.069752	0.118081	0.149814	0.084932	0.08297	0.104775	0.115561	0.107216	0.093032	0.12242	0.050808	0.084651	0.098974	0.142035	0.132996	0.086766	0.088036
"Lisbon"	0.068354	0.051589	0.044752	0.075613	0.067803	0.088199	0.060529	0.03123	0.107503	0.058468	0.07331	0	0.059896	0.052	0.07071	0.086923	0.082064	0.081873	0.13234	0.047394	0.0535	0.065857	0.079246	0.073535	0.064354	0.085097	0.049612	0.062789	0.066001	0.106123	0.11935	0.054739	0.069022
"London"	0.103525	0.06824	0.048364	0.098823	0.063141	0.129866	0.07603	0.0493	0.122795	0.045658	0.095792	0.059896	0	0.064878	0.096666	0.106158	0.091002	0.054801	0.166819	0.057569	0.044275	0.06215	0.106381	0.101275	0.100569	0.11172	0.075889	0.077544	0.09031	0.137176	0.152206	0.086671	0.097479
"MexicoCity"	0.089659	0.057548	0.056803	0.091873	0.069037	0.119252	0.066357	0.045059	0.110996	0.053764	0.086834	0.052	0.064878	0	0.043723	0.092669	0.085887	0.087077	0.165178	0.054907	0.048923	0.073347	0.052288	0.067515	0.09401	0.094455	0.064844	0.072945	0.036993	0.140186	0.151352	0.076835	0.091501
"Monterrey"	0.110859	0.083427	0.078731	0.111567	0.097807	0.136577	0.084854	0.066757	0.134568	0.081515	0.106076	0.07071	0.096666	0.043723	0	0.115527	0.111819	0.121408	0.180908	0.07423	0.077818	0.099971	0.061659	0.083914	0.111896	0.11131	0.083326	0.093965	0.049465	0.159232	0.165524	0.096347	0.10885
"Nairobi"	0.112216	0.097583	0.091272	0.105399	0.107255	0.144842	0.117206	0.085383	0.113717	0.088775	0.099808	0.086923	0.106158	0.092669	0.115527	0	0.099794	0.128246	0.185329	0.095345	0.092697	0.115741	0.122906	0.11508	0.125099	0.12935	0.082207	0.096599	0.106702	0.171221	0.167607	0.107682	0.113265
"Nowshahr"	0.111038	0.089755	0.084828	0.095942	0.098484	0.151096	0.112462	0.0781	0.049855	0.074918	0.069752	0.082064	0.091002	0.085887	0.111819	0.099794	0	0.115419	0.182068	0.085471	0.075938	0.10648	0.120812	0.115676	0.122827	0.129589	0.062906	0.089962	0.103933	0.171243	0.16492	0.105871	0.111843
"Perth"	0.125549	0.089663	0.072226	0.117998	0.088901	0.15817	0.102847	0.070483	0.140739	0.067963	0.118081	0.081873	0.054801	0.087077	0.121408	0.128246	0.115419	0	0.187898	0.081005	0.065749	0.0866	0.130195	0.126547	0.125748	0.136713	0.097495	0.09729	0.114555	0.167893	0.173469	0.110126	0.118365
"PigeonIsland"	0.109931	0.14762	0.141366	0.12068	0.173761	0.155057	0.162928	0.127234	0.205884	0.165759	0.149814	0.13234	0.166819	0.165178	0.180908	0.185329	0.182068	0.187898	0	0.149637	0.162117	0.170797	0.192186	0.181622	0.125734	0.192383	0.110537	0.151519	0.177047	0.170913	0.034487	0.130176	0.129356
"Prague"	0.077518	0.057529	0.037963	0.088433	0.059343	0.09897	0.065264	0.04048	0.113309	0.053152	0.084932	0.047394	0.057569	0.054907	0.07423	0.095345	0.085471	0.081005	0.149637	0	0.046305	0.067829	0.086797	0.079981	0.078753	0.092016	0.059372	0.068769	0.071771	0.119198	0.136274	0.061692	0.080481
"SaltLakeCity"	0.09173	0.059405	0.04731	0.091219	0.05836	0.116231	0.063499	0.043272	0.10227	0.039586	0.08297	0.0535	0.044275	0.048923	0.077818	0.092697	0.075938	0.065749	0.162117	0.046305	0	0.061713	0.084376	0.081248	0.094863	0.099099	0.064855	0.068603	0.069755	0.135339	0.147873	0.079374	0.091439
"Salvador"	0.105841	0.07733	0.062226	0.105026	0.082252	0.129623	0.084075	0.056515	0.132485	0.068697	0.104775	0.065857	0.06215	0.073347	0.099971	0.115741	0.10648	0.0866	0.170797	0.067829	0.061713	0	0.107087	0.100125	0.101563	0.105164	0.080931	0.088167	0.093831	0.146512	0.156011	0.088476	0.098709
"SanCristobalDeLasCasas"	0.118964	0.094179	0.088875	0.121576	0.108282	0.148327	0.097614	0.07577	0.144163	0.090356	0.115561	0.079246	0.106381	0.052288	0.061659	0.122906	0.120812	0.130195	0.192186	0.086797	0.084376	0.107087	0	0.092024	0.122227	0.121537	0.092259	0.100949	0.06187	0.169432	0.177203	0.106915	0.11898
"Santiago"	0.107557	0.084838	0.081308	0.115225	0.101479	0.140332	0.098694	0.069555	0.140309	0.085808	0.107216	0.073535	0.101275	0.067515	0.083914	0.11508	0.115676	0.126547	0.181622	0.079981	0.081248	0.100125	0.092024	0	0.109485	0.115486	0.084131	0.096688	0.081441	0.157851	0.165916	0.097396	0.109425
"Sardinia"	0.05944	0.07318	0.07058	0.092908	0.103342	0.087229	0.091751	0.056145	0.151273	0.101209	0.093032	0.064354	0.100569	0.09401	0.111896	0.125099	0.122827	0.125748	0.125734	0.078753	0.094863	0.101563	0.122227	0.109485	0	0.121023	0.055238	0.088496	0.106439	0.100651	0.114084	0.05733	0.070221
"Tatui"	0.117752	0.099619	0.092735	0.128204	0.112778	0.148775	0.11946	0.082114	0.152421	0.103047	0.12242	0.085097	0.11172	0.094455	0.11131	0.12935	0.129589	0.136713	0.192383	0.092016	0.099099	0.105164	0.121537	0.115486	0.121023	0	0.0947	0.108796	0.106987	0.167032	0.178745	0.105511	0.118719
"Tehran"	0.039418	0.055917	0.056816	0.062858	0.074983	0.068126	0.074968	0.04269	0.084896	0.067559	0.050808	0.049612	0.075889	0.064844	0.083326	0.082207	0.062906	0.097495	0.110537	0.059372	0.064855	0.080931	0.092259	0.084131	0.055238	0.0947	0	0.057412	0.076538	0.100657	0.097629	0.055812	0.054474
"TelAviv"	0.08093	0.068785	0.063988	0.088762	0.08421	0.104216	0.087501	0.056417	0.114624	0.071385	0.084651	0.062789	0.077544	0.072945	0.093965	0.096599	0.089962	0.09729	0.151519	0.068769	0.068603	0.088167	0.100949	0.096688	0.088496	0.108796	0.057412	0	0.088928	0.135186	0.137402	0.082093	0.064531
"TlaxcalaDeXicohtencatl"	0.103295	0.078524	0.073555	0.106165	0.089804	0.133562	0.084249	0.061047	0.12952	0.073184	0.098974	0.066001	0.09031	0.036993	0.049465	0.106702	0.103933	0.114555	0.177047	0.071771	0.069755	0.093831	0.06187	0.081441	0.106439	0.106987	0.076538	0.088928	0	0.153826	0.161285	0.092391	0.102991
"Torshavn"	0.106308	0.12245	0.112417	0.137291	0.145718	0.136996	0.137446	0.099701	0.199294	0.140736	0.142035	0.106123	0.137176	0.140186	0.159232	0.171221	0.171243	0.167893	0.170913	0.119198	0.135339	0.146512	0.169432	0.157851	0.100651	0.167032	0.100657	0.135186	0.153826	0	0.159497	0.094466	0.115413
