"Abadeh"	"Barcelona"	"Berlin"	"Colombo"	"Copenhagen"	"Crete"	"Denver"	"Guimaraes"	"Isfahan"	"Johannesburg"	"Lahijan"	"Lisbon"	"London"	"MexicoCity"	"Monterrey"	"Nairobi"	"Nowshahr"	"Perth"	"PigeonIsland"	"Prague"	"SaltLakeCity"	"Salvador"	"SanCristobalDeLasCasas"	"Santiago"	"Sardinia"	"Tatui"	"Tehran"	"TelAviv"	"TlaxcalaDeXicohtencatl"	"Torshavn"	"Trincomalee"	"Vernelle"	"WadiHidan"
"Abadeh"	0	755039	1332253	1471166	1204164	1176632	1486072	1459666	924893	1365788	895110	1250548	1386525	1143009	1179480	1188882	1152352	1450146	1373105	1351289	1292209	1204201	1102169	1239989	1342093	1120218	1342563	1004878	1186345	1461572	1408607	1189032	1398721
"Barcelona"	0.072354	0	949541	1071610	832806	836198	1093925	1054539	649996	969854	651529	885403	993732	774399	820281	775526	803564	1045582	982532	973660	865291	807281	767158	869381	950065	765922	890251	746989	825193	1064907	1011275	834176	1005305
"Berlin"	0.076212	0.055531	0	2161045	1568671	1759023	2186298	2084754	1211107	1774421	1173223	1714201	2037265	1318396	1550120	1396786	1489427	2075906	2016865	1744428	1597046	1599415	1435121	1669788	1980297	1290486	1619023	1428365	1552209	2140235	2064006	1601013	2023887
"Colombo"	0.086107	0.087044	0.081085	0	1716684	2412473	2860857	2488724	1262867	2165349	1223612	1858732	2667130	1452842	1661609	1636226	1598524	2456653	2748770	2062901	1732480	1687400	1517427	1896567	2709388	1407204	1845220	1876482	1662914	2780321	2793161	1703280	2558734
"Copenhagen"	0.100979	0.071933	0.060736	0.107773	0	1338465	1726143	1686506	1118052	1510719	1102613	1470296	1601512	1251792	1544611	1267843	1468232	1700422	1573534	1523817	1447072	1395847	1411405	1625681	1555534	1236670	1434215	1109298	1516959	1688157	1615774	1408452	1622398
"Crete"	0.075982	0.094402	0.096062	0.118537	0.128376	0	2592043	2108571	857765	1931058	823857	1443955	2441983	1057948	1265240	1479388	1198417	2078388	2646003	1723229	1338139	1279469	1115237	1540406	2629448	1009611	1546299	1930304	1262878	2485227	2633105	1288013	2250283
"Denver"	0.096818	0.078659	0.062335	0.09792	0.087652	0.128293	0	2528597	1262592	2229049	1221175	1866528	2817130	1469460	1664967	1660788	1604197	2495950	3001452	2109415	1748470	1698718	1519752	1908972	2966718	1419485	1864847	1964591	1670944	2913077	3028903	1708261	2655801
"Guimaraes"	0.061077	0.043021	0.036454	0.070361	0.060188	0.081954	0.053914	0	1240533	2066640	1202032	1844039	2367456	1451016	1636599	1605007	1566534	2349666	2352110	2003545	1725649	1682611	1497982	1850138	2320815	1404951	1819952	1713102	1637209	2481871	2402750	1691980	2339523
"Isfahan"	0.13695	0.115947	0.110822	0.115766	0.128391	0.17699	0.138874	0.104157	0	1021890	1138104	1187506	1116832	925724	1161520	813637	1227125	1258886	1088110	1066782	1181928	1182498	1190438	1059348	1051706	926641	1030889	661487	1213680	1217046	1136144	1203212	1166749
"Johannesburg"	0.094985	0.063863	0.05403	0.089003	0.061733	0.120191	0.073122	0.049663	0.096767	0	992558	1570774	2104321	1370595	1442257	1612863	1360992	2042298	2110899	1946769	1528574	1442331	1298593	1662518	2077348	1329589	1717197	1610965	1426869	2179636	2147087	1422502	2025256
"Lahijan"	0.078865	0.08501	0.079904	0.085244	0.097431	0.113999	0.101173	0.068083	0.087379	0.083527	0	1147747	1085092	899179	1146111	789402	1203572	1213410	1059333	1041046	1134505	1135574	1167343	1045947	1026072	899137	1001649	639568	1189410	1185112	1106857	1161978	1138954
