"Abadeh"	"Barcelona"	"Berlin"	"Colombo"	"Copenhagen"	"Crete"	"Denver"	"Guimaraes"	"Isfahan"	"Johannesburg"	"Lahijan"	"Lisbon"	"London"	"MexicoCity"	"Monterrey"	"Nairobi"	"Nowshahr"	"Perth"	"PigeonIsland"	"Prague"	"SaltLakeCity"	"Salvador"	"SanCristobalDeLasCasas"	"Santiago"	"Sardinia"	"Tatui"	"Tehran"	"TelAviv"	"TlaxcalaDeXicohtencatl"	"Torshavn"	"Trincomalee"	"Vernelle"	"WadiHidan"
"Abadeh"	0	0.072177	0.076354	0.086123	0.100102	0.076172	0.096806	0.060986	0.136304	0.094712	0.078396	0.068132	0.103434	0.088789	0.11017	0.11127	0.109257	0.12307	0.109594	0.077842	0.091909	0.10571	0.118364	0.106668	0.059621	0.116355	0.037293	0.080531	0.102508	0.105889	0.100532	0.062827	0.060326
"Barcelona"	0.072177	0	0.055496	0.08703	0.072065	0.094379	0.078679	0.043002	0.115934	0.063754	0.084896	0.051318	0.068111	0.057501	0.084094	0.097841	0.089618	0.087642	0.147208	0.057307	0.05936	0.077625	0.093338	0.084945	0.073818	0.099752	0.055558	0.068351	0.07839	0.121849	0.136345	0.066147	0.077805
"Berlin"	0.076354	0.055496	0	0.080992	0.060884	0.096173	0.062375	0.036417	0.109742	0.053743	0.079898	0.044662	0.048649	0.056654	0.078792	0.091612	0.084047	0.070147	0.140814	0.038177	0.04723	0.062359	0.088549	0.081419	0.070836	0.091685	0.057383	0.063605	0.073486	0.111734	0.12819	0.05677	0.073137
"Colombo"	0.086123	0.08703	0.080992	0	0.107821	0.118	0.097913	0.070092	0.114499	0.088924	0.08492	0.07516	0.098475	0.090935	0.111482	0.104915	0.095387	0.115923	0.120334	0.08882	0.091602	0.105072	0.121937	0.115438	0.092461	0.127401	0.063889	0.08825	0.105729	0.13648	0.106611	0.085859	0.086705
"Copenhagen"	0.100102	0.072065	0.060884	0.107821	0	0.128298	0.087423	0.060176	0.127556	0.061617	0.096172	0.067507	0.063548	0.069194	0.097491	0.107945	0.098593	0.086265	0.172813	0.059512	0.058279	0.082144	0.107503	0.101841	0.10283	0.11164	0.076064	0.083434	0.089386	0.145225	0.159865	0.088379	0.101533
"Crete"	0.076172	0.094379	0.096173	0.118	0.128298	0	0.128325	0.082151	0.176126	0.11927	0.114352	0.088388	0.13028	0.118727	0.135034	0.143416	0.149976	0.155754	0.154913	0.099233	0.116394	0.129122	0.147677	0.139328	0.087761	0.14882	0.066826	0.103424	0.132772	0.135829	0.14297	0.0861	0.092185
"Denver"	0.096806	0.078679	0.062375	0.097913	0.087423	0.128325	0	0.053653	0.136897	0.072783	0.101435	0.060726	0.076076	0.066158	0.085086	0.11698	0.112601	0.099855	0.162939	0.065532	0.063451	0.08425	0.097836	0.099113	0.09133	0.118739	0.075704	0.086738	0.08463	0.13653	0.147061	0.079676	0.093359
"Guimaraes"	0.060986	0.043002	0.036417	0.070092	0.060176	0.082151	0.053653	0	0.102799	0.04947	0.067747	0.031169	0.04918	0.044981	0.066748	0.085788	0.077445	0.068179	0.126878	0.040387	0.043249	0.05634	0.075427	0.069014	0.056029	0.080938	0.042358	0.056075	0.060785	0.099256	0.114038	0.047318	0.062245
"Isfahan"	0.136304	0.115934	0.109742	0.114499	0.127556	0.176126	0.136897	0.102799	0	0.096453	0.086639	0.106783	0.122891	0.109636	0.133671	0.11391	0.049792	0.139957	0.204739	0.112139	0.102462	0.132739	0.142975	0.138955	0.149586	0.151798	0.090165	0.112446	0.1286	0.197704	0.18656	0.135673	0.135888
"Johannesburg"	0.094712	0.063754	0.053743	0.088924	0.061617	0.11927	0.072783	0.04947	0.096453	0	0.083331	0.058429	0.045523	0.053861	0.081382	0.08912	0.074878	0.066822	0.165517	0.052896	0.039605	0.068496	0.090038	0.086118	0.100876	0.10253	0.069287	0.070646	0.072683	0.140193	0.150914	0.085299	0.094965
"Lahijan"	0.078396	0.084896	0.079898	0.08492	0.096172	0.114352	0.101435	0.067747	0.086639	0.083331	0	0.073257	0.097183	0.087323	0.106185	0.100666	0.069869	0.116299	0.149521	0.084944	0.083376	0.105145	0.115472	0.10809	0.09296	0.122197	0.053497	0.08455	0.098819	0.141655	0.132599	0.087278	0.088157
"Lisbon"	0.068132	0.051318	0.044662	0.07516	0.067507	0.088388	0.060726	0.031169	0.106783	0.058429	0.073257	0	0.060462	0.051885	0.070746	0.087339	0.08129	0.079718	0.131876	0.04726	0.053323	0.065531	0.078751	0.073077	0.063955	0.084199	0.049743	0.06186	0.065378	0.105634	0.119613	0.054518	0.068584
"London"	0.103434	0.068111	0.048649	0.098475	0.063548	0.13028	0.076076	0.04918	0.122891	0.045523	0.097183	0.060462	0	0.065678	0.096719	0.106413	0.090802	0.053139	0.166902	0.058311	0.044568	0.062531	0.107316	0.102192	0.100529	0.111273	0.07692	0.077164	0.090742	0.136663	0.151915	0.087048	0.097546
"MexicoCity"	0.088789	0.057501	0.056654	0.090935	0.069194	0.118727	0.066158	0.044981	0.109636	0.053861	0.087323	0.051885	0.065678	0	0.043416	0.092437	0.086056	0.084931	0.165423	0.05472	0.048875	0.073383	0.05217	0.068003	0.094264	0.094287	0.065818	0.07238	0.036897	0.139586	0.151834	0.076928	0.091527
"Monterrey"	0.11017	0.084094	0.078792	0.111482	0.097491	0.135034	0.085086	0.066748	0.133671	0.081382	0.106185	0.070746	0.096719	0.043416	0	0.115395	0.111557	0.119469	0.179952	0.0743	0.077536	0.099638	0.061679	0.083788	0.111748	0.111749	0.083344	0.093761	0.049467	0.158095	0.164649	0.096079	0.108564
