"Abadeh"	"Barcelona"	"Berlin"	"Colombo"	"Copenhagen"	"Crete"	"Denver"	"Guimaraes"	"Isfahan"	"Johannesburg"	"Lahijan"	"Lisbon"	"London"	"MexicoCity"	"Monterrey"	"Nairobi"	"Nowshahr"	"Perth"	"PigeonIsland"	"Prague"	"SaltLakeCity"	"Salvador"	"SanCristobalDeLasCasas"	"Santiago"	"Sardinia"	"Tatui"	"Tehran"	"TelAviv"	"TelAvivColony"	"TlaxcalaDeXicohtencatl"	"Torshavn"	"Trincomalee"	"Vernelle"	"WadiHidan"	"Cpalumbus"
"Abadeh"	NA	755040	1332254	1471167	1204165	1176632	1486073	1459667	924894	1365789	895111	1250549	1386525	1143010	1179481	1188883	1152353	1471740	1373106	1351290	1292210	1204202	1102170	1239990	1342094	1120219	1358792	1004876	1268599	1186346	1461573	1408608	1189033	1398721	1150679
"Barcelona"	0.021104	NA	949541	1071610	832806	836198	1093925	1054539	649995	969854	651529	885403	993732	774399	820281	775527	803563	1076466	982532	973660	865291	807281	767158	869380	950064	765922	904917	746986	881609	825192	1064907	1011275	834176	1005305	795682
"Berlin"	0.023121	0.016202	NA	2161045	1568671	1759023	2186298	2084754	1211107	1774422	1173223	1714201	2037265	1318396	1550120	1396789	1489427	2153703	2016865	1744428	1597046	1599415	1435121	1669788	1980297	1290486	1650897	1428363	1663086	1552209	2140235	2064006	1601013	2023887	1542839
"Colombo"	0.015369	0.01257	0.009358	NA	1716684	2412472	2860857	2488724	1262867	2165350	1223612	1858732	2667130	1452842	1661609	1636229	1598524	2675722	2748770	2062901	1732480	1687400	1517427	1896567	2709388	1407204	1926481	1876479	1870475	1662914	2780321	2793161	1703280	2558734	1894087
"Copenhagen"	0.017771	0.017549	0.014348	0.026477	NA	1338465	1726143	1686506	1118052	1510720	1102613	1470296	1601512	1251792	1544611	1267845	1468232	1720566	1573534	1523817	1447072	1395847	1411405	1625681	1555534	1236670	1433779	1109295	1656301	1516959	1688157	1615774	1408452	1622398	1293059
"Crete"	-0.011234	-0.005169	0.005154	0.030296	0.017281	NA	2592042	2108571	857764	1931058	823856	1443955	2441983	1057947	1265240	1479389	1198416	2321910	2646003	1723229	1338139	1279469	1115237	1540406	2629448	1009611	1656937	1930302	1510616	1262878	2485227	2633105	1288013	2250283	1716899
"Denver"	0.00865	0.013863	0.010824	0.04981	0.033161	0.038046	NA	2528597	1262592	2229050	1221175	1866528	2817130	1469460	1664967	1660791	1604197	2751478	3001452	2109415	1748470	1698718	1519752	1908972	2966718	1419485	1954529	1964588	1887039	1670944	2913077	3028903	1708261	2655801	1976900
"Guimaraes"	0.023114	0.015795	0.014374	0.016599	0.026645	0.006297	0.032414	NA	1240533	2066641	1202032	1844039	2367456	1451016	1636599	1605011	1566534	2475575	2352110	2003545	1725649	1682611	1497982	1850138	2320815	1404951	1887173	1713100	1824469	1637209	2481871	2402750	1691980	2339523	1771529
"Isfahan"	0.020202	0.020779	0.023225	0.026396	0.026421	0.030638	0.027312	0.031873	NA	1021891	1138104	1187507	1116832	925724	1161520	813638	1227125	1262277	1088110	1066782	1181928	1182498	1190438	1059348	1051706	926641	1019080	661485	1130530	1213680	1217046	1136144	1203212	1166749	969097
"Johannesburg"	0.030638	0.01862	0.016244	0.01934	0.030186	0.001962	0.044974	0.015718	0.03438	NA	992559	1570776	2104321	1370596	1442258	1612866	1360993	2161057	2110899	1946770	1528575	1442332	1298594	1662519	2077348	1329590	1797918	1610962	1630978	1426870	2179637	2147087	1422503	2025257	1588082
"Lahijan"	0.020327	0.017987	0.019072	0.017286	0.014969	0.027867	0.023389	0.021395	0.022706	0.023803	NA	1147747	1085092	899179	1146111	789403	1203572	1216694	1059333	1041046	1134505	1135574	1167343	1045947	1026072	899137	990558	639566	1116673	1189410	1185112	1106857	1161978	1138954	932329
"Lisbon"	0.023793	0.015443	0.013123	0.00367	0.008679	-0.006208	-0.000741	0.009736	0.019398	0.013573	0.017367	NA	1726146	1244067	1473038	1267479	1430996	1865383	1689234	1573649	1509967	1518810	1387720	1525686	1649406	1229891	1508005	1200546	1541918	1482764	1830205	1740236	1542868	1753936	1372853
"London"	0.020509	0.014431	0.014205	0.022024	0.025596	0.03198	0.041446	0.018295	0.028008	0.016825	0.020253	0.009128	NA	1336107	1529672	1588730	1456882	2574411	2843459	1964173	1604609	1554789	1380564	1790999	2812840	1290959	1850649	1905096	1743149	1522744	2729207	2859676	1560591	2514492	1824015
"MexicoCity"	0.020622	0.020771	0.021984	0.018803	0.02128	-0.007858	0.013982	0.025226	0.024144	0.034277	0.021195	0.020324	0.022667	NA	1217968	1176396	1174959	1462883	1306073	1415387	1296645	1203650	1133451	1294307	1272304	1235239	1304161	901782	1308912	1216414	1432931	1351931	1175264	1362234	1108249
"Monterrey"	0.022812	0.016197	0.014586	0.017927	0.025035	0.024969	0.039015	0.017393	0.040157	0.016607	0.023752	0.010247	0.018865	0.023743	NA	1209042	1475708	1658401	1504673	1464700	1429505	1406591	1451289	1538555	1479087	1203517	1389586	1046373	1586892	1541034	1624663	1548847	1419727	1567100	1255462
"Nairobi"	0.02831	0.017362	0.015544	0.015654	0.027077	-0.012094	0.035455	0.014295	0.031351	0.0127	0.022112	0.013431	0.015446	0.031276	0.015799	NA	1135013	1639210	1577549	1547611	1281273	1175212	1078097	1376572	1553505	1155529	1510117	1270618	1366369	1190159	1634161	1599543	1155763	1553934	1251385
"Nowshahr"	0.020668	0.026863	0.027222	0.045696	0.043066	0.03249	0.038158	0.050239	0.018051	0.058178	0.009102	0.018917	0.044668	0.028525	0.058881	0.052986	NA	1597097	1428565	1389963	1417065	1389390	1433966	1429853	1403442	1163237	1323560	974086	1508123	1508103	1556543	1476068	1407154	1498477	1220385
"Perth"	0.010995	0.009378	0.004891	0.030243	0.023996	0.029416	0.047155	0.014235	0.023406	0.019068	0.01614	-0.000751	0.02266	0.014078	0.018738	0.015971	0.040283	NA	2588176	2062476	1747818	1703910	1516897	1892191	2554077	1418968	1924007	1831000	1866961	1661854	2675404	2634508	1709773	2469114	1862738
"PigeonIsland"	0.014071	0.00845	0.006521	0.026526	0.026987	0.071177	0.072091	0.009705	0.027026	0.004666	0.016633	0.002667	0.015978	0.017697	0.013479	0.003942	0.051223	0.042173	NA	1953696	1568318	1515101	1351349	1772904	3156477	1259438	1839154	1973964	1730128	1497409	2834681	3230723	1530977	2582632	1908534
"Prague"	0.02367	0.016354	0.01512	0.019616	0.026229	-0.001937	0.039249	0.016655	0.030016	0.015251	0.021107	0.012456	0.017811	0.026389	0.017024	0.014036	0.048366	0.019777	0.00981	NA	1554193	1463084	1333500	1647490	1913750	1381863	1731758	1462814	1630529	1451171	2067222	1998584	1448118	1938606	1521932
"SaltLakeCity"	0.022191	0.016384	0.01585	0.013165	0.018904	-0.009181	0.017725	0.017258	0.026087	0.018585	0.019995	0.013029	0.017235	0.022822	0.017451	0.017401	0.03305	0.009307	0.009939	0.017322	NA	1476709	1364328	1453127	1526262	1282602	1490907	1124211	1501357	1447908	1706147	1616194	1459632	1625749	1337694
"Salvador"	0.020989	0.01741	0.018242	0.012394	0.015809	-0.003537	0.008067	0.019655	0.022026	0.022133	0.019544	0.015225	0.017931	0.02108	0.019775	0.020461	0.022021	0.006999	0.011894	0.019385	0.018668	NA	1348689	1407601	1474261	1188207	1406172	1042553	1444387	1426569	1657090	1565728	1471687	1581642	1278740
"SanCristobalDeLasCasas"	0.021544	0.016277	0.014993	0.017297	0.018329	0.026356	0.03229	0.01867	0.036036	0.019029	0.021775	0.010723	0.019234	0.022364	0.01915	0.017915	0.035635	0.017247	0.01499	0.018353	0.017683	0.018867	NA	1371779	1323219	1125532	1264181	907963	1432384	1470843	1480168	1398327	1363256	1425666	1157784
